"gene_symbol","present_in_gpl14951_symbol_or_ilmn_gene","intentionally_modernized"
"ABLIM1",TRUE,FALSE
"ABLIM2",TRUE,FALSE
"ABLIM3",TRUE,FALSE
"ABO",TRUE,FALSE
"ABP1",TRUE,FALSE
"ABR",TRUE,FALSE
"ABRA",TRUE,FALSE
"ABT1",TRUE,FALSE
"ABTB1",TRUE,FALSE
"ABTB2",TRUE,FALSE
"ACAA1",TRUE,FALSE
"ACAA2",TRUE,FALSE
"ACACA",TRUE,FALSE
"ACACB",TRUE,FALSE
"ACAD10",TRUE,FALSE
"ACAD11",TRUE,FALSE
"ACAD8",TRUE,FALSE
"ACAD9",TRUE,FALSE
"ACADL",TRUE,FALSE
"ACADM",TRUE,FALSE
"ACADS",TRUE,FALSE
"ACADSB",TRUE,FALSE
"ACADVL",TRUE,FALSE
"ACAN",TRUE,FALSE
"ACAP1",TRUE,FALSE
"ACAP2",TRUE,FALSE
"ACAP3",TRUE,FALSE
"ACAT1",TRUE,FALSE
"ACAT2",TRUE,FALSE
"ACBD3",TRUE,FALSE
"ACBD4",TRUE,FALSE
"ACBD5",TRUE,FALSE
"ACBD6",TRUE,FALSE
"ACBD7",TRUE,FALSE
"ACCN1",TRUE,FALSE
"ACCN2",TRUE,FALSE
"ACCN3",TRUE,FALSE
"ACCN4",TRUE,FALSE
"ACCN5",TRUE,FALSE
"ACCS",TRUE,FALSE
"ACCSL",TRUE,FALSE
"ACD",TRUE,FALSE
"ACE",TRUE,FALSE
"ACE2",TRUE,FALSE
"ACER1",TRUE,FALSE
"ACER2",TRUE,FALSE
"ACER3",TRUE,FALSE
"ACHE",TRUE,FALSE
"ACIN1",TRUE,FALSE
"ACLY",TRUE,FALSE
"ACMSD",TRUE,FALSE
"ACN9",TRUE,FALSE
"ACO1",TRUE,FALSE
"ACO2",TRUE,FALSE
"ACOT1",TRUE,FALSE
"ACOT11",TRUE,FALSE
"ACOT12",TRUE,FALSE
"ACOT2",TRUE,FALSE
"ACOT4",TRUE,FALSE
"ACOT6",TRUE,FALSE
"ACOT7",TRUE,FALSE
"ACOT8",TRUE,FALSE
"ACOT9",TRUE,FALSE
"ACOX1",TRUE,FALSE
"ACOX2",TRUE,FALSE
"ACOX3",TRUE,FALSE
"ACOXL",TRUE,FALSE
"ACP1",TRUE,FALSE
"ACP2",TRUE,FALSE
"ACP5",TRUE,FALSE
"ACP6",TRUE,FALSE
"ACPL2",TRUE,FALSE
"ACPP",TRUE,FALSE
"ACPT",TRUE,FALSE
"ACR",TRUE,FALSE
"ACRBP",TRUE,FALSE
"ACRC",TRUE,FALSE
"ACRV1",TRUE,FALSE
"ACSBG1",TRUE,FALSE
"ACSBG2",TRUE,FALSE
"ACSF2",TRUE,FALSE
"ACSF3",TRUE,FALSE
"ACSL1",TRUE,FALSE
"ACSL3",TRUE,FALSE
"ACSL4",TRUE,FALSE
"ACSL5",TRUE,FALSE
"ACSL6",TRUE,FALSE
"ACSM1",TRUE,FALSE
"ACSM2B",TRUE,FALSE
"ACSM3",TRUE,FALSE
"ACSM5",TRUE,FALSE
"ACSS1",TRUE,FALSE
"ACSS2",TRUE,FALSE
"ACSS3",TRUE,FALSE
"ACTA1",TRUE,FALSE
"ACTA2",TRUE,FALSE
"ACTB",TRUE,FALSE
"ACTBL2",TRUE,FALSE
"ACTC1",TRUE,FALSE
"ACTG1",TRUE,FALSE
"ACTG2",TRUE,FALSE
"ACTL6A",TRUE,FALSE
"ACTL6B",TRUE,FALSE
"ACTL7A",TRUE,FALSE
"ACTL7B",TRUE,FALSE
"ACTL8",TRUE,FALSE
"ACTN1",TRUE,FALSE
"ACTN2",TRUE,FALSE
"ACTN3",TRUE,FALSE
"ACTN4",TRUE,FALSE
"ACTR10",TRUE,FALSE
"ACTR1A",TRUE,FALSE
"ACTR1B",TRUE,FALSE
"ACTR2",TRUE,FALSE
"ACTR3",TRUE,FALSE
"ACTR3B",TRUE,FALSE
"ACTR5",TRUE,FALSE
"ACTR6",TRUE,FALSE
"ACTR8",TRUE,FALSE
"ACTRT1",TRUE,FALSE
"ACTRT2",TRUE,FALSE
"ACVR1",TRUE,FALSE
"ACVR1B",TRUE,FALSE
"ACVR1C",TRUE,FALSE
"ACVR2A",TRUE,FALSE
"ACVR2B",TRUE,FALSE
"ACVRL1",TRUE,FALSE
"ACY1",TRUE,FALSE
"ACY3",TRUE,FALSE
"ACYP1",TRUE,FALSE
"ACYP2",TRUE,FALSE
"ADA",TRUE,FALSE
"ADAD1",TRUE,FALSE
"ADAD2",TRUE,FALSE
"ADAL",TRUE,FALSE
"ADAM10",TRUE,FALSE
"ADAM11",TRUE,FALSE
"ADAM12",TRUE,FALSE
"ADAM15",TRUE,FALSE
"ADAM17",TRUE,FALSE
"ADAM18",TRUE,FALSE
"ADAM19",TRUE,FALSE
"ADAM2",TRUE,FALSE
"ADAM20",TRUE,FALSE
"ADAM21",TRUE,FALSE
"ADAM21P",TRUE,FALSE
"ADAM22",TRUE,FALSE
"ADAM23",TRUE,FALSE
"ADAM28",TRUE,FALSE
"ADAM29",TRUE,FALSE
"ADAM30",TRUE,FALSE
"ADAM32",TRUE,FALSE
"ADAM33",TRUE,FALSE
"ADAM3A",TRUE,FALSE
"ADAM5P",TRUE,FALSE
"ADAM6",TRUE,FALSE
"ADAM7",TRUE,FALSE
"ADAM8",TRUE,FALSE
"ADAM9",TRUE,FALSE
"ADAMDEC1",TRUE,FALSE
"ADAMTS1",TRUE,FALSE
"ADAMTS10",TRUE,FALSE
"ADAMTS12",TRUE,FALSE
"ADAMTS13",TRUE,FALSE
"ADAMTS14",TRUE,FALSE
"ADAMTS15",TRUE,FALSE
"ADAMTS16",TRUE,FALSE
"ADAMTS17",TRUE,FALSE
"ADAMTS18",TRUE,FALSE
"ADAMTS19",TRUE,FALSE
"ADAMTS2",TRUE,FALSE
"ADAMTS20",TRUE,FALSE
"ADAMTS3",TRUE,FALSE
"ADAMTS4",TRUE,FALSE
"ADAMTS5",TRUE,FALSE
"ADAMTS6",TRUE,FALSE
"ADAMTS7",TRUE,FALSE
"ADAMTS8",TRUE,FALSE
"ADAMTS9",TRUE,FALSE
"ADAMTSL1",TRUE,FALSE
"ADAMTSL2",TRUE,FALSE
"ADAMTSL3",TRUE,FALSE
"ADAMTSL4",TRUE,FALSE
"ADAMTSL5",TRUE,FALSE
"ADAP1",TRUE,FALSE
"ADAP2",TRUE,FALSE
"ADAR",TRUE,FALSE
"ADARB1",TRUE,FALSE
"ADARB2",TRUE,FALSE
"ADAT1",TRUE,FALSE
"ADAT2",TRUE,FALSE
"ADAT3",TRUE,FALSE
"ADC",TRUE,FALSE
"ADCK1",TRUE,FALSE
"ADCK2",TRUE,FALSE
"ADCK4",TRUE,FALSE
"ADCK5",TRUE,FALSE
"ADCY1",TRUE,FALSE
"ADCY10",TRUE,FALSE
"ADCY2",TRUE,FALSE
"ADCY3",TRUE,FALSE
"ADCY4",TRUE,FALSE
"ADCY5",TRUE,FALSE
"ADCY6",TRUE,FALSE
"ADCY7",TRUE,FALSE
"ADCY8",TRUE,FALSE
"ADCY9",TRUE,FALSE
"ADCYAP1",TRUE,FALSE
"ADCYAP1R1",TRUE,FALSE
"ADD1",TRUE,FALSE
"ADD2",TRUE,FALSE
"ADD3",TRUE,FALSE
"ADH1A",TRUE,FALSE
"ADH1B",TRUE,FALSE
"ADH1C",TRUE,FALSE
"ADH4",TRUE,FALSE
"ADH5",TRUE,FALSE
"ADH6",TRUE,FALSE
"ADH7",TRUE,FALSE
"ADHFE1",TRUE,FALSE
"ADI1",TRUE,FALSE
"ADIG",TRUE,FALSE
"ADIPOQ",TRUE,FALSE
"ADIPOR1",TRUE,FALSE
"ADIPOR2",TRUE,FALSE
"ADK",TRUE,FALSE
"ADM",TRUE,FALSE
"ADM2",TRUE,FALSE
"ADNP",TRUE,FALSE
"ADNP2",TRUE,FALSE
"ADO",TRUE,FALSE
"ADORA1",TRUE,FALSE
"ADORA2A",TRUE,FALSE
"ADORA2B",TRUE,FALSE
"ADORA3",TRUE,FALSE
"ADPGK",TRUE,FALSE
"ADPRH",TRUE,FALSE
"ADPRHL1",TRUE,FALSE
"ADPRHL2",TRUE,FALSE
"ADRA1A",TRUE,FALSE
"ADRA1B",TRUE,FALSE
"ADRA1D",TRUE,FALSE
"ADRA2A",TRUE,FALSE
"ADRA2B",TRUE,FALSE
"ADRA2C",TRUE,FALSE
"ADRB1",TRUE,FALSE
"ADRB2",TRUE,FALSE
"ADRB3",TRUE,FALSE
"ADRBK1",TRUE,FALSE
"ADRBK2",TRUE,FALSE
"ADRM1",TRUE,FALSE
"ADSL",TRUE,FALSE
"ADSS",TRUE,FALSE
"ADSSL1",TRUE,FALSE
"AEBP1",TRUE,FALSE
"AEBP2",TRUE,FALSE
"AEN",TRUE,FALSE
"AES",TRUE,FALSE
"AFAP1",TRUE,FALSE
"AFAP1L1",TRUE,FALSE
"AFAP1L2",TRUE,FALSE
"AFAR3",TRUE,FALSE
"AFARP1",TRUE,FALSE
"AFF1",TRUE,FALSE
"AFF2",TRUE,FALSE
"AFF3",TRUE,FALSE
"AFF4",TRUE,FALSE
"AFG3L1",TRUE,FALSE
"AFG3L2",TRUE,FALSE
"AFM",TRUE,FALSE
"AFMID",TRUE,FALSE
"AFP",TRUE,FALSE
"AFTPH",TRUE,FALSE
"AGA",TRUE,FALSE
"AGAP1",TRUE,FALSE
"AGAP11",TRUE,FALSE
"AGAP2",TRUE,FALSE
"AGAP3",TRUE,FALSE
"AGAP6",TRUE,FALSE
"AGAP7",TRUE,FALSE
"AGAP8",TRUE,FALSE
"AGBL1",TRUE,FALSE
"AGBL2",TRUE,FALSE
"AGBL4",TRUE,FALSE
"AGBL5",TRUE,FALSE
"AGC1",TRUE,FALSE
"AGER",TRUE,FALSE
"AGFG1",TRUE,FALSE
"AGFG2",TRUE,FALSE
"AGGF1",TRUE,FALSE
"AGK",TRUE,FALSE
"AGL",TRUE,FALSE
"AGMAT",TRUE,FALSE
"AGPAT1",TRUE,FALSE
"AGPAT2",TRUE,FALSE
"AGPAT3",TRUE,FALSE
"AGPAT4",TRUE,FALSE
"AGPAT5",TRUE,FALSE
"AGPAT6",TRUE,FALSE
"AGPAT9",TRUE,FALSE
"AGPS",TRUE,FALSE
"AGR2",TRUE,FALSE
"AGR3",TRUE,FALSE
"AGRN",TRUE,FALSE
"AGRP",TRUE,FALSE
"AGT",TRUE,FALSE
"AGTPBP1",TRUE,FALSE
"AGTR1",TRUE,FALSE
"AGTR2",TRUE,FALSE
"AGTRAP",TRUE,FALSE
"AGXT",TRUE,FALSE
"AGXT2",TRUE,FALSE
"AGXT2L1",TRUE,FALSE
"AGXT2L2",TRUE,FALSE
"AHCTF1",TRUE,FALSE
"AHCY",TRUE,FALSE
"AHCYL1",TRUE,FALSE
"AHCYL2",TRUE,FALSE
"AHDC1",TRUE,FALSE
"AHI1",TRUE,FALSE
"AHNAK",TRUE,FALSE
"AHNAK2",TRUE,FALSE
"AHR",TRUE,FALSE
"AHRR",TRUE,FALSE
"AHSA1",TRUE,FALSE
"AHSA2",TRUE,FALSE
"AHSG",TRUE,FALSE
"AHSP",TRUE,FALSE
"AICDA",TRUE,FALSE
"AIDA",TRUE,FALSE
"AIF1",TRUE,FALSE
"AIF1L",TRUE,FALSE
"AIFM1",TRUE,FALSE
"AIFM2",TRUE,FALSE
"AIFM3",TRUE,FALSE
"AIG1",TRUE,FALSE
"AIM1",TRUE,FALSE
"AIM1L",TRUE,FALSE
"AIM2",TRUE,FALSE
"AIMP2",TRUE,FALSE
"AIP",TRUE,FALSE
"AIPL1",TRUE,FALSE
"AIRE",TRUE,FALSE
"AJAP1",TRUE,FALSE
"AK1",TRUE,FALSE
"AK2",TRUE,FALSE
"AK3",TRUE,FALSE
"AK3L1",TRUE,FALSE
"AK5",TRUE,FALSE
"AK7",TRUE,FALSE
"AKAP1",TRUE,FALSE
"AKAP10",TRUE,FALSE
"AKAP11",TRUE,FALSE
"AKAP12",TRUE,FALSE
"AKAP13",TRUE,FALSE
"AKAP14",TRUE,FALSE
"AKAP2",TRUE,FALSE
"AKAP3",TRUE,FALSE
"AKAP4",TRUE,FALSE
"AKAP5",TRUE,FALSE
"AKAP6",TRUE,FALSE
"AKAP7",TRUE,FALSE
"AKAP8",TRUE,FALSE
"AKAP8L",TRUE,FALSE
"AKAP9",TRUE,FALSE
"AKIRIN1",TRUE,FALSE
"AKIRIN2",TRUE,FALSE
"AKNA",TRUE,FALSE
"AKNAD1",TRUE,FALSE
"AKR1A1",TRUE,FALSE
"AKR1B1",TRUE,FALSE
"AKR1B10",TRUE,FALSE
"AKR1B15",TRUE,FALSE
"AKR1C1",TRUE,FALSE
"AKR1C2",TRUE,FALSE
"AKR1C3",TRUE,FALSE
"AKR1C4",TRUE,FALSE
"AKR1CL1",TRUE,FALSE
"AKR1D1",TRUE,FALSE
"AKR1E2",TRUE,FALSE
"AKR7A2",TRUE,FALSE
"AKR7A3",TRUE,FALSE
"AKR7L",TRUE,FALSE
"AKT1",TRUE,FALSE
"AKT1S1",TRUE,FALSE
"AKT2",TRUE,FALSE
"AKT3",TRUE,FALSE
"AKTIP",TRUE,FALSE
"ALAD",TRUE,FALSE
"ALAS1",TRUE,FALSE
"ALAS2",TRUE,FALSE
"ALB",TRUE,FALSE
"ALCAM",TRUE,FALSE
"ALDH16A1",TRUE,FALSE
"ALDH18A1",TRUE,FALSE
"ALDH1A1",TRUE,FALSE
"ALDH1A2",TRUE,FALSE
"ALDH1A3",TRUE,FALSE
"ALDH1B1",TRUE,FALSE
"ALDH1L1",TRUE,FALSE
"ALDH1L2",TRUE,FALSE
"ALDH2",TRUE,FALSE
"ALDH3A1",TRUE,FALSE
"ALDH3A2",TRUE,FALSE
"ALDH3B1",TRUE,FALSE
"ALDH3B2",TRUE,FALSE
"ALDH4A1",TRUE,FALSE
"ALDH5A1",TRUE,FALSE
"ALDH6A1",TRUE,FALSE
"ALDH7A1",TRUE,FALSE
"ALDH8A1",TRUE,FALSE
"ALDH9A1",TRUE,FALSE
"ALDOA",TRUE,FALSE
"ALDOB",TRUE,FALSE
"ALDOC",TRUE,FALSE
"ALG1",TRUE,FALSE
"ALG10",TRUE,FALSE
"ALG10B",TRUE,FALSE
"ALG11",TRUE,FALSE
"ALG12",TRUE,FALSE
"ALG13",TRUE,FALSE
"ALG14",TRUE,FALSE
"ALG1L",TRUE,FALSE
"ALG2",TRUE,FALSE
"ALG3",TRUE,FALSE
"ALG5",TRUE,FALSE
"ALG6",TRUE,FALSE
"ALG8",TRUE,FALSE
"ALG9",TRUE,FALSE
"ALK",TRUE,FALSE
"ALKBH1",TRUE,FALSE
"ALKBH2",TRUE,FALSE
"ALKBH3",TRUE,FALSE
"ALKBH4",TRUE,FALSE
"ALKBH5",TRUE,FALSE
"ALKBH6",TRUE,FALSE
"ALKBH7",TRUE,FALSE
"ALKBH8",TRUE,FALSE
"ALLC",TRUE,FALSE
"ALMS1",TRUE,FALSE
"ALMS1P",TRUE,FALSE
"ALOX12",TRUE,FALSE
"ALOX12B",TRUE,FALSE
"ALOX12P2",TRUE,FALSE
"ALOX15",TRUE,FALSE
"ALOX15B",TRUE,FALSE
"ALOX5",TRUE,FALSE
"ALOX5AP",TRUE,FALSE
"ALOXE3",TRUE,FALSE
"ALPI",TRUE,FALSE
"ALPK1",TRUE,FALSE
"ALPK2",TRUE,FALSE
"ALPK3",TRUE,FALSE
"ALPL",TRUE,FALSE
"ALPP",TRUE,FALSE
"ALPPL2",TRUE,FALSE
"ALS2",TRUE,FALSE
"ALS2CL",TRUE,FALSE
"ALS2CR11",TRUE,FALSE
"ALS2CR12",TRUE,FALSE
"ALS2CR16",TRUE,FALSE
"ALS2CR4",TRUE,FALSE
"ALS2CR8",TRUE,FALSE
"ALX1",TRUE,FALSE
"ALX3",TRUE,FALSE
"ALX4",TRUE,FALSE
"AMAC1",TRUE,FALSE
"AMAC1L2",TRUE,FALSE
"AMAC1L3",TRUE,FALSE
"AMACR",TRUE,FALSE
"AMBN",TRUE,FALSE
"AMBP",TRUE,FALSE
"AMBRA1",TRUE,FALSE
"AMD1",TRUE,FALSE
"AMDHD1",TRUE,FALSE
"AMDHD2",TRUE,FALSE
"AMELX",TRUE,FALSE
"AMELY",TRUE,FALSE
"AMFR",TRUE,FALSE
"AMH",TRUE,FALSE
"AMHR2",TRUE,FALSE
"AMICA1",TRUE,FALSE
"AMIGO1",TRUE,FALSE
"AMIGO2",TRUE,FALSE
"AMIGO3",TRUE,FALSE
"AMMECR1",TRUE,FALSE
"AMMECR1L",TRUE,FALSE
"AMN",TRUE,FALSE
"AMN1",TRUE,FALSE
"AMOT",TRUE,FALSE
"AMOTL2",TRUE,FALSE
"AMPD1",TRUE,FALSE
"AMPD2",TRUE,FALSE
"AMPD3",TRUE,FALSE
"AMPH",TRUE,FALSE
"AMT",TRUE,FALSE
"AMTN",TRUE,FALSE
"AMY1A",TRUE,FALSE
"AMY1B",TRUE,FALSE
"AMY2A",TRUE,FALSE
"AMY2B",TRUE,FALSE
"AMZ1",TRUE,FALSE
"AMZ2",TRUE,FALSE
"ANAPC1",TRUE,FALSE
"ANAPC10",TRUE,FALSE
"ANAPC11",TRUE,FALSE
"ANAPC13",TRUE,FALSE
"ANAPC2",TRUE,FALSE
"ANAPC4",TRUE,FALSE
"ANAPC5",TRUE,FALSE
"ANAPC7",TRUE,FALSE
"ANG",TRUE,FALSE
"ANGEL1",TRUE,FALSE
"ANGEL2",TRUE,FALSE
"ANGPT1",TRUE,FALSE
"ANGPT2",TRUE,FALSE
"ANGPT4",TRUE,FALSE
"ANGPTL1",TRUE,FALSE
"ANGPTL2",TRUE,FALSE
"ANGPTL3",TRUE,FALSE
"ANGPTL4",TRUE,FALSE
"ANGPTL5",TRUE,FALSE
"ANGPTL6",TRUE,FALSE
"ANGPTL7",TRUE,FALSE
"ANK1",TRUE,FALSE
"ANK2",TRUE,FALSE
"ANK3",TRUE,FALSE
"ANKAR",TRUE,FALSE
"ANKDD1A",TRUE,FALSE
"ANKFN1",TRUE,FALSE
"ANKFY1",TRUE,FALSE
"ANKH",TRUE,FALSE
"ANKHD1",TRUE,FALSE
"ANKHD1-EIF4EBP3",TRUE,FALSE
"ANKIB1",TRUE,FALSE
"ANKK1",TRUE,FALSE
"ANKLE1",TRUE,FALSE
"ANKLE2",TRUE,FALSE
"ANKMY1",TRUE,FALSE
"ANKMY2",TRUE,FALSE
"ANKRA2",TRUE,FALSE
"ANKRD1",TRUE,FALSE
"ANKRD10",TRUE,FALSE
"ANKRD11",TRUE,FALSE
"ANKRD12",TRUE,FALSE
"ANKRD13A",TRUE,FALSE
"ANKRD13B",TRUE,FALSE
"ANKRD13C",TRUE,FALSE
"ANKRD13D",TRUE,FALSE
"ANKRD16",TRUE,FALSE
"ANKRD17",TRUE,FALSE
"ANKRD19",TRUE,FALSE
"ANKRD2",TRUE,FALSE
"ANKRD20A1",TRUE,FALSE
"ANKRD20A2",TRUE,FALSE
"ANKRD20A3",TRUE,FALSE
"ANKRD20A4",TRUE,FALSE
"ANKRD20B",TRUE,FALSE
"ANKRD21",TRUE,FALSE
"ANKRD22",TRUE,FALSE
"ANKRD23",TRUE,FALSE
"ANKRD24",TRUE,FALSE
"ANKRD26",TRUE,FALSE
"ANKRD27",TRUE,FALSE
"ANKRD28",TRUE,FALSE
"ANKRD29",TRUE,FALSE
"ANKRD30A",TRUE,FALSE
"ANKRD32",TRUE,FALSE
"ANKRD33",TRUE,FALSE
"ANKRD34A",TRUE,FALSE
"ANKRD34B",TRUE,FALSE
"ANKRD35",TRUE,FALSE
"ANKRD36",TRUE,FALSE
"ANKRD36B",TRUE,FALSE
"ANKRD37",TRUE,FALSE
"ANKRD38",TRUE,FALSE
"ANKRD39",TRUE,FALSE
"ANKRD40",TRUE,FALSE
"ANKRD41",TRUE,FALSE
"ANKRD42",TRUE,FALSE
"ANKRD43",TRUE,FALSE
"ANKRD44",TRUE,FALSE
"ANKRD45",TRUE,FALSE
"ANKRD46",TRUE,FALSE
"ANKRD47",TRUE,FALSE
"ANKRD49",TRUE,FALSE
"ANKRD5",TRUE,FALSE
"ANKRD50",TRUE,FALSE
"ANKRD52",TRUE,FALSE
"ANKRD53",TRUE,FALSE
"ANKRD54",TRUE,FALSE
"ANKRD55",TRUE,FALSE
"ANKRD56",TRUE,FALSE
"ANKRD57",TRUE,FALSE
"ANKRD6",TRUE,FALSE
"ANKRD7",TRUE,FALSE
"ANKRD9",TRUE,FALSE
"ANKS1A",TRUE,FALSE
"ANKS1B",TRUE,FALSE
"ANKS3",TRUE,FALSE
"ANKS4B",TRUE,FALSE
"ANKS6",TRUE,FALSE
"ANKZF1",TRUE,FALSE
"ANLN",TRUE,FALSE
"ANO1",TRUE,FALSE
"ANO10",TRUE,FALSE
"ANO2",TRUE,FALSE
"ANO3",TRUE,FALSE
"ANO4",TRUE,FALSE
"ANO5",TRUE,FALSE
"ANO6",TRUE,FALSE
"ANO7",TRUE,FALSE
"ANO8",TRUE,FALSE
"ANO9",TRUE,FALSE
"ANP32A",TRUE,FALSE
"ANP32B",TRUE,FALSE
"ANP32C",TRUE,FALSE
"ANP32D",TRUE,FALSE
"ANP32E",TRUE,FALSE
"ANPEP",TRUE,FALSE
"ANTXR1",TRUE,FALSE
"ANTXR2",TRUE,FALSE
"ANUBL1",TRUE,FALSE
"ANXA1",TRUE,FALSE
"ANXA10",TRUE,FALSE
"ANXA11",TRUE,FALSE
"ANXA13",TRUE,FALSE
"ANXA2",TRUE,FALSE
"ANXA2P1",TRUE,FALSE
"ANXA2P2",TRUE,FALSE
"ANXA3",TRUE,FALSE
"ANXA4",TRUE,FALSE
"ANXA5",TRUE,FALSE
"ANXA6",TRUE,FALSE
"ANXA7",TRUE,FALSE
"ANXA8",TRUE,FALSE
"ANXA8L1",TRUE,FALSE
"ANXA8L2",TRUE,FALSE
"ANXA9",TRUE,FALSE
"AOAH",TRUE,FALSE
"AOC2",TRUE,FALSE
"AOC3",TRUE,FALSE
"AOF2",TRUE,FALSE
"AOX1",TRUE,FALSE
"AOX2P",TRUE,FALSE
"AP1B1",TRUE,FALSE
"AP1G1",TRUE,FALSE
"AP1G2",TRUE,FALSE
"AP1GBP1",TRUE,FALSE
"AP1M1",TRUE,FALSE
"AP1M2",TRUE,FALSE
"AP1S1",TRUE,FALSE
"AP1S2",TRUE,FALSE
"AP1S3",TRUE,FALSE
"AP2A1",TRUE,FALSE
"AP2A2",TRUE,FALSE
"AP2B1",TRUE,FALSE
"AP2M1",TRUE,FALSE
"AP2S1",TRUE,FALSE
"AP3B1",TRUE,FALSE
"AP3B2",TRUE,FALSE
"AP3D1",TRUE,FALSE
"AP3M1",TRUE,FALSE
"AP3M2",TRUE,FALSE
"AP3S1",TRUE,FALSE
"AP3S2",TRUE,FALSE
"AP4B1",TRUE,FALSE
"AP4E1",TRUE,FALSE
"AP4M1",TRUE,FALSE
"AP4S1",TRUE,FALSE
"APAF1",TRUE,FALSE
"APBA1",TRUE,FALSE
"APBA2",TRUE,FALSE
"APBA2BP",TRUE,FALSE
"APBA3",TRUE,FALSE
"APBB1",TRUE,FALSE
"APBB1IP",TRUE,FALSE
"APBB2",TRUE,FALSE
"APBB3",TRUE,FALSE
"APC",TRUE,FALSE
"APC2",TRUE,FALSE
"APCDD1",TRUE,FALSE
"APCDD1L",TRUE,FALSE
"APCS",TRUE,FALSE
"APEH",TRUE,FALSE
"APEX1",TRUE,FALSE
"APEX2",TRUE,FALSE
"APH1A",TRUE,FALSE
"APH1B",TRUE,FALSE
"API5",TRUE,FALSE
"APIP",TRUE,FALSE
"APITD1",TRUE,FALSE
"APLF",TRUE,FALSE
"APLN",TRUE,FALSE
"APLNR",TRUE,FALSE
"APLP1",TRUE,FALSE
"APLP2",TRUE,FALSE
"APOA1",TRUE,FALSE
"APOA1BP",TRUE,FALSE
"APOA2",TRUE,FALSE
"APOA4",TRUE,FALSE
"APOA5",TRUE,FALSE
"APOB",TRUE,FALSE
"APOB48R",TRUE,FALSE
"APOBEC1",TRUE,FALSE
"APOBEC2",TRUE,FALSE
"APOBEC3A",TRUE,FALSE
